Główne miasto dla portu ,Województwo ,ICAO ,IATA ,Nazwa portu lotniczego ,Ofic. liczba pasażerów (2019)[1] ,"Zmiana
(2018 – 2019)"
Warszawa ,mazowieckie ,EPWA ,WAW ,Lotnisko Chopina w Warszawie ,18 844 591 ,"6,2% "
Kraków ,małopolskie ,EPKK ,KRK ,Port lotniczy Kraków-Balice im. Jana Pawła II ,8 402 859 ,"24,3% "
Gdańsk ,pomorskie ,EPGD ,GDN ,Port lotniczy Gdańsk-Rębiechowo im. Lecha Wałęsy ,5 361 134 ,"7,9% "
Katowice ,śląskie ,EPKT ,KTW ,Międzynarodowy Port Lotniczy Katowice w Pyrzowicach(Katowice Airport) ,4 843 650 ,"0,4% "
Wrocław ,dolnośląskie ,EPWR ,WRO ,Port lotniczy Wrocław-Strachowice im. Mikołaja Kopernika ,3 496 898 ,"6,2% "
Warszawa ,mazowieckie ,EPMO ,WMI ,Port lotniczy Warszawa-Modlin ,3 104 277 ,"0,8% "
Poznań ,wielkopolskie ,EPPO ,POZ ,Port lotniczy Poznań-Ławica im. Henryka Wieniawskiego ,2 372 184 ,"-3,8% "
Rzeszów ,podkarpackie ,EPRZ ,RZE ,Port lotniczy Rzeszów-Jasionka ,769 252 ,"0,0% "
Szczecin ,zachodniopomorskie ,EPSC ,SZZ ,Port lotniczy Szczecin-Goleniów im. NSZZ „Solidarność” ,580 479 ,"-3,0% "
Lublin ,lubelskie ,EPLB ,LUZ ,Port lotniczy Lublin ,356 011 ,"-21,6% "
Bydgoszcz ,kujawsko-pomorskie ,EPBY ,BZG ,Port Lotniczy im. Ignacego Jana Paderewskiego Bydgoszcz ,413 472 ,"3,9% "
Łódź ,łódzkie ,EPLL ,LCJ ,Port lotniczy Łódź im. Władysława Reymonta ,241 707 ,"11,2% "
Olsztyn ,warmińsko-mazurskie ,EPSY ,SZY ,Port lotniczy Olsztyn-Mazury ,147 446 ,"25,9% "
Zielona Góra ,lubuskie ,EPZG ,IEG ,Port lotniczy Zielona Góra-Babimost ,33 078 ,"55,5% "
Radom ,mazowieckie ,EPRA ,RDO ,"Port lotniczy Warszawa-Radom im. Bohaterów Radomskiego Czerwca 1976 roku 
Przebudowa ",0,– 
